Sample	Soil	Sowing	Type_sample
MetaG-PAA	Agricultural	Before-sowing	Rhizosphere-Agricultural
MetaG-PAD	Agricultural	Before-sowing	Rhizosphere-Agricultural
MetaG-PAI	Agricultural	Before-sowing	Rhizosphere-Agricultural
MetaG-PNA	Non-agricultural	Before-sowing	Soil-Non_Agricultural
MetaG-PND	Non-agricultural	Before-sowing	Soil-Non_Agricultural
MetaG-PNI	Non-agricultural	Before-sowing	Soil-Non_Agricultural
MetaG-AA	Agricultural	After-sowing	Rhizosphere-Agricultural
MetaG-AD	Agricultural	After-sowing	Rhizosphere-Agricultural
MetaG-AI	Agricultural	After-sowing	Rhizosphere-Agricultural
MetaG-NA	Non-agricultural	After-sowing	Soil-Non_Agricultural
MetaG-ND	Non-agricultural	After-sowing	Soil-Non_Agricultural
MetaG-NI	Non-agricultural	After-sowing	Soil-Non_Agricultural
