	LDH	PDH	CDH	CCE	IPH	HDC	ADP	DDT	NNT	FDF	TDF	ICF	LDA	PDH	NRP	LDI	LDP	CDE	CDA	NYF	TBF	LDV	ADV	EDV	CDV	FCV	GCV	LAV	OAV	CAV	FTV	NVP	NSV	NLV	CDS	CSS	DCS	NCS	PTS	BTS	LDS	ADS	EDS	FTS	FLS	PDS
G2497_1	3.5	1	1	2	1	1	50	8	5	1	10	1	1	1	40	2	1.2	1	1	120	1	13.5	13	36	1	1	1	8	1	1	1	16	6	6	1	1	1	1	1	1	1	6	20	1	1	14.9
G2497_2	3	1	1	2	1	1	49	10	5	1	10	1	1	1	35	2.1	1	1	1	93	0.9	11	9	30	1	1	1	4	1	1	1	34	6	6	1	1	1	1	1	1	1	5	21	1	1	17.8
G2497_3	4	1	1	2	1	1	40	10	6	1	9	1	1	1	30	1.8	1.2	1	1	103	1	11	8	31	1	1	1	5	1	1	1	28	6	6	1	1	1	1	1	1	1.1	6	20	1	1	17.1
G7753_1	3	1	1	1	1	1	47	9	5	2	11.5	2	2	1	38	1.5	0.7	2	1	114	1	13	10	34	2	1	1	13	1	2	1	31	7	7	1	1	1	1	1	2	0.8	5	16	2	1	15.9
G7753_2	3.5	1	1	1	1	1	33	11	4	2	11.2	2	2	1	50	1.8	0.5	2	1	125	0.9	12.5	10	34	2	1	1	8	1	2	1	31	7	7	1	1	1	1	1	2	0.8	5	18	2	1	15.2
G7753_3	3	1	1	1	1	1	37	9	5	2	10.8	2	2	1	40	1.8	0.6	2	1	67	1	12	10	33	2	1	1	8	1	2	1	30	7	7	1	1	1	1	1	2	0.9	5	18	2	1	14.8
G21135_1	3	1	2	3	1	1	46	7	4	3	11.4	1	2	2	39	1.8	0.5	2	2	117	0.9	13.2	9	35	2	2	2	11	1	1	1	25	7	7	1	1	1	1	1	3	1.1	6	21	1	2	19.7
G21135_2	3.5	1	2	3	1	1	32	11	5	3	10.5	1	2	2	40	1.4	0.6	2	2	120	0.9	11.6	12	35	2	2	2	11	1	1	1	28	7	7	1	1	1	1	1	3	1.1	6	20	1	2	20.5
G21135_3	3.5	1	2	3	1	1	37	10	4	3	11	1	2	2	39	1.7	0.6	2	2	118	0.9	12.4	10	35	2	2	2	11	1	1	1	24	7	7	1	1	1	1	1	3	1.1	16	21	1	2	19
G18752_1	3.5	1	2	2	1	1	33	8	4	1	11	1	2	1	14	2	1	3	3	42	1	14	14	40	3	3	2	17	2	1	1	16	6	6	2	2	2	2	2	3	1.6	7	23	3	3	44.2
G18752_2	3.5	1	2	2	1	1	38	5	4	1	10.5	1	2	1	10	2	0.9	3	3	27	1	11.3	10	40	3	3	2	12	2	1	1	19	6	6	2	2	2	2	2	3	1.6	7	25	3	3	46.4
G18752_3	3	1	2	2	1	1	37	5	4	1	10.5	1	2	1	21	1.9	0.9	3	3	37	1	14	13	38	3	3	2	13	2	1	1	16	5	5	2	2	2	2	2	3	1.5	7	24	3	3	45.3
G5516_1	3	1	1	1	2	2	38	6	5	2	7	1	3	3	35	0.9	0.7	2	2	105	0.9	11	10	35	3	1	2	5	1	1	1	38	6	6	3	3	1	3	3	3	1.1	6	20	2	4	21.3
G5516_2	3	1	1	1	2	2	38	8	4	2	8	1	3	3	40	1	0.6	2	2	115	1	10	8	34	3	1	2	7	1	1	1	43	6	6	3	3	1	3	3	3	1.1	6	20	2	4	20.17
G5516_3	3	1	1	1	2	2	43	7	5	2	8.2	1	3	3	30	1.3	0.6	2	2	90	1	11	9	33	3	1	2	7	1	1	1	18	6	6	3	3	1	3	3	3	1.1	6	20	2	4	23.7
G19123C_1	4	1	1	1	1	2	44	8	4	2	10	1	2	3	33	2	0.8	1	1	99	1	11.8	9	32	2	2	1	6	1	1	1	46	6	6	1	1	1	1	1	3	0.9	6	18	2	1	21.5
G19123C_2	4	1	1	1	1	2	36	7	4	2	9	1	2	3	35	1.7	0.9	1	1	84	1	9.5	9	33	2	2	1	5	1	1	1	37	6	6	1	1	1	1	1	3	1.1	6	20	2	1	22.2
G19123C_3	3	1	1	1	1	2	39	7	4	2	10	1	2	3	38	1.7	0.8	1	1	96	1	10.3	8	32	2	2	1	6	1	1	1	40	6	6	1	1	1	1	1	3	0.9	6	19	2	1	21.3
G10966_1	4	1	2	2	1	3	43	6	5	4	8	1	1	1	50	2.4	0.7	4	4	136	9.5	9.5	13	37	2	1	2	7	2	1	2	13	6	6	4	4	2	2	4	3	1.3	8	16	4	2	38.7
G10966_2	4	1	2	2	1	3	41	8	4	4	8.3	1	1	1	37	2.4	0.8	4	4	117	10.2	10.2	11	39	2	1	2	5	2	1	2	30	6	6	4	4	2	2	4	3	1.5	9	28	4	2	46.6
G10966_3	3	1	2	2	1	3	37	8	4	4	0.3	1	1	1	32	2.5	0.8	4	4	79	10	10	11	38	2	1	2	5	2	1	2	38	6	6	4	4	2	2	4	3	1.3	10	27	4	2	43.5
G7749_1	4	1	1	1	1	4	47	1.1	4	2	11	1	2	1	39	1.8	0.4	2	2	117	1	10	9	33	2	2	2	7	3	3	1	26	6	6	1	1	1	1	1	3	1	6	21	2	5	16.1
G7749_2	3	1	1	1	1	4	42	1	5	2	10.7	1	2	1	46	1.7	0.4	2	2	92	0.9	10	9	33	2	2	2	9	3	3	1	31	6	6	1	1	1	1	1	3	1	6	22	2	5	16.7
G7749_3	3	1	1	1	1	4	46	1	4	2	10.9	1	2	1	35	1.8	0.5	2	2	86	0.9	10.3	9	34	2	2	2	7	3	3	1	25	6	6	1	1	1	1	1	3	1	6	19	2	5	16.9
G16030A_1	3	1	2	2	1	3	31	7	5	1	8.5	1	1	2	50	2.3	0.9	4	4	140	1	11	12	38	2	2	2	4	1	2	1	34	6	6	5	2	1	2	4	3	1	6	21	3	1	28.8
G16030A_2	4	1	2	2	1	3	32	8	4	1	8.9	1	1	2	45	2	0.8	4	4	105	1	11.8	11	37	2	2	2	6	1	2	1	54	6	6	5	2	1	2	4	3	1.1	6	22	3	1	30.4
G16030A_3	4	1	2	2	1	3	30	7	4	1	8.7	1	1	2	30	2	0.8	4	4	89	1	11.3	11	37	2	2	2	6	1	2	1	45	6	6	5	2	1	2	4	3	1.1	6	21	3	1	26.7
Pinto_Saltillo	NA	1	2	2	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	2	1	2	4	NA	1.2363	0.7047	0.4887	5	6	34
