Sample	Soil	Origin_sample	Bean_name	Variety_name	Type	Soil_type
MetaG-AA	Agricultural	Rhizosphere	MetaG-AA	Pinto_Saltillo	Pinto_Saltillo	A_Rhizo
MetaG-AB	Agricultural	Rhizosphere	MetaG-AB	Pinto_Saltillo	Pinto_Saltillo	A_Rhizo
MetaG-AD	Agricultural	Rhizosphere	MetaG-AD	Pinto_Saltillo	Pinto_Saltillo	A_Rhizo
MetaG-AE	Agricultural	Rhizosphere	MetaG-AE	Pinto_Saltillo	Pinto_Saltillo	A_Rhizo
MetaG-AH	Agricultural	Rhizosphere	MetaG-AH	Pinto_Saltillo	Pinto_Saltillo	A_Rhizo
MetaG-AI	Agricultural	Rhizosphere	MetaG-AI	Pinto_Saltillo	Pinto_Saltillo	A_Rhizo
MetaG-NA	Non-agricultural	Rhizosphere	MetaG-NA	Pinto_Saltillo	Pinto_Saltillo	N_Rhizo
MetaG-ND	Non-agricultural	Rhizosphere	MetaG-ND	Pinto_Saltillo	Pinto_Saltillo	N_Rhizo
MetaG-NE	Non-agricultural	Rhizosphere	MetaG-NE	Pinto_Saltillo	Pinto_Saltillo	N_Rhizo
MetaG-NH	Non-agricultural	Rhizosphere	MetaG-NH	Pinto_Saltillo	Pinto_Saltillo	N_Rhizo
MetaG-NI	Non-agricultural	Rhizosphere	MetaG-NI	Pinto_Saltillo	Pinto_Saltillo	N_Rhizo
MetaG-PAA	Agricultural	Soil	MetaG-PAA	Soil_Pinto_Saltillo	Pinto_Saltillo_soil	A_Soil
MetaG-PAD	Agricultural	Soil	MetaG-PAD	Soil_Pinto_Saltillo	Pinto_Saltillo_soil	A_Soil
MetaG-PAI	Agricultural	Soil	MetaG-PAI	Soil_Pinto_Saltillo	Pinto_Saltillo_soil	A_Soil
MetaG-PNA	Non-agricultural	Soil	MetaG-PNA	Soil_Pinto_Saltillo	Pinto_Saltillo_soil	N_Soil
MetaG-PND	Non-agricultural	Soil	MetaG-PND	Soil_Pinto_Saltillo	Pinto_Saltillo_soil	N_Soil
MetaG-PNI	Non-agricultural	Soil	MetaG-PNI	Soil_Pinto_Saltillo	Pinto_Saltillo_soil	N_Soil
V10rh	Agricultural	Rhizosphere	Negro_V10	Other_variety	Black_bean	A_Rhizo
V16rh	Agricultural	Rhizosphere	Bayo_V16	Other_variety	Bayo_bean	A_Rhizo
V22rh	Agricultural	Rhizosphere	Bayo_V22	Other_variety	Bayo_bean	A_Rhizo
V26rh	Agricultural	Rhizosphere	Negro_V26	Other_variety	Black_bean	A_Rhizo
V2rh	Agricultural	Rhizosphere	Negro_V2	Other_variety	Black_bean	A_Rhizo
V43rh	Agricultural	Rhizosphere	Bayo_V43	Other_variety	Bayo_bean	A_Rhizo
V45rh	Agricultural	Rhizosphere	Negro_V45	Other_variety	Black_bean	A_Rhizo
V47rh	Agricultural	Rhizosphere	Bayo_V47	Other_variety	Bayo_bean	A_Rhizo
V4rh	Agricultural	Rhizosphere	Negro_V4	Other_variety	Black_bean	A_Rhizo
VP1-2	Agricultural	Soil	VP1-2	Soil_other_varieties	Bayo_and_Black_soil	A_Soil
VP3-4	Agricultural	Soil	VP3-4	Soil_other_varieties	Bayo_and_Black_soil	A_Soil
VP5-6	Agricultural	Soil	VP5-6	Soil_other_varieties	Bayo_and_Black_soil	A_Soil
