Sample	Soil	Sowing	Origin_soil 	Type_sample	Coloquial_names
VP1-2	Agricultural	Before-sowing	Soil	VP1-2	VP1-2
VP3-4	Agricultural	Before-sowing	Soil	VP3-4	VP3-4
VP5-6	Agricultural	Before-sowing	Soil	VP5-6	VP5-6
V10rh	Agricultural	After-sowing	Rhizosphere	G21135	Black_V10
V16rh	Agricultural	After-sowing	Rhizosphere	G18752	Bayo_V16
V22rh	Agricultural	After-sowing	Rhizosphere	G5516	Bayo_V22
V26rh	Agricultural	After-sowing	Rhizosphere	G19125C	Black_V26
V2rh	Agricultural	After-sowing	Rhizosphere	G2497	Black_V2
V43rh	Agricultural	After-sowing	Rhizosphere	G10966	Bayo_V43
V45rh	Agricultural	After-sowing	Rhizosphere	G7749	Black_V45
V47rh	Agricultural	After-sowing	Rhizosphere	G16030A	Bayo_V47
V4rh	Agricultural	After-sowing	Rhizosphere	G7753	Black_V4
