"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"286"	47348107.8535765	9.6672316282798	0.250359984057632	38.6133257863383	0	0	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	NA
"549"	6566398.39409319	12.5928695601289	0.50330588886236	25.0203103893598	3.67556369049997e-138	2.70153931251748e-135	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Erwiniaceae"	"Pantoea"	NA
"1788"	2594.73071870229	-1.4541624065165	0.0600517368559512	-24.2151598380022	1.54037453463263e-129	7.54783521969988e-127	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycolicibacter"	NA
"61646"	1428521.77833883	13.5602061626592	0.568626990469459	23.8472784266956	1.08066893928413e-125	3.97145835186917e-123	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Lelliottia"	NA
"2053"	15896.5930972711	-1.57753148887862	0.072775651656368	-21.6766384494557	3.40886353351443e-104	1.00220587885324e-101	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Gordoniaceae"	"Gordonia"	NA
"2571029"	8192.08665486889	-1.58002947129042	0.0731401883611463	-21.6027536528709	1.69221496456628e-103	4.14592666318738e-101	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Dermabacteraceae"	"Brachybacterium"	NA
"34073"	3483451.28229385	6.8288268578574	0.323724609267942	21.094555873586	8.92395565681874e-99	1.87403068793193e-96	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	NA
"2171623"	1946.37094540807	-1.66338650822732	0.079633282847427	-20.8880815753167	6.87250748854345e-97	1.26282325101986e-94	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Beutenbergiaceae"	"Miniimonas"	NA
"2045"	5831.41904817654	-2.16818786250309	0.104881178663281	-20.6728022142468	6.08770683325532e-95	9.94325449431703e-93	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Pimelobacter"	NA
"1619308"	630.543602690832	-1.62456074241471	0.080523572218558	-20.1749711004537	1.62458576367232e-90	2.38814107259831e-88	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Cnuibacter"	NA
"1331730"	1238.59255455972	-1.67972309669822	0.083572579498726	-20.0989739310826	7.53351254706337e-90	1.00675122219847e-87	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Chryseoglobus"	NA
"1716"	21751.516907752	-1.23343882888621	0.0614792565052265	-20.0626829112898	1.56412795054718e-89	1.9160567394203e-87	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	NA
"36809"	3426.52927666763	-1.29460144602937	0.0646311164683438	-20.0306217309964	2.97915364802065e-89	3.36873527891566e-87	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacteroides"	NA
"675864"	2855.21646735033	-1.96530014059822	0.0995539002059213	-19.7410662619256	9.57362914823496e-87	1.00523106056467e-84	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Propionibacteriaceae"	"Auraticoccus"	NA
"2018025"	8453.122568025	-1.54585442891645	0.0787672428321137	-19.6256003553573	9.34664523727467e-86	9.15971233252918e-84	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Kitasatospora"	NA
"2704468"	6836.567956937	-1.59292927821229	0.0826795442025817	-19.2663045445593	1.03035876059548e-82	9.46642111297093e-81	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptacidiphilus"	NA
"128785"	23560.5249623455	2.89022925468577	0.150865972036858	19.1575954184	8.36494299926606e-82	7.23321541701242e-80	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Pseudoxanthomonas"	NA
"2419771"	1386.94261391257	-1.73419199564241	0.0910683902180934	-19.0427434973795	7.54689494169023e-81	6.16329753571369e-79	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Gryllotalpicola"	NA
"304895"	3600.95761335398	-1.62760756905671	0.0859191882274837	-18.9434700517349	4.999113085827e-80	3.86773486113983e-78	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Catenulisporales"	"Catenulisporaceae"	"Catenulispora"	NA
"358"	519126.003900387	6.96581175574887	0.368195901457384	18.918765060059	7.99048474164331e-80	5.87300628510783e-78	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Agrobacterium"	NA
"467094"	3359.43889335951	-2.05762143001167	0.108902807964071	-18.8941081362247	1.27524441582777e-79	8.92671091079441e-78	"Bacteria"	"Actinobacteria"	"Acidimicrobiia"	"Acidimicrobiales"	"Ilumatobacteraceae"	"Ilumatobacter"	NA
"2041"	20716.3389903769	-2.22040322955228	0.11753941812852	-18.8907114303088	1.36000532811402e-79	9.08730832876188e-78	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	NA
"37326"	31553.0232163221	-1.37202601773878	0.0726490672469434	-18.885665979373	1.4963872334534e-79	9.56386623120214e-78	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Nocardia"	NA
"1763"	53919.2914595788	-1.33315699685894	0.0707779537717003	-18.8357663059763	3.84521028674373e-79	2.35519130063054e-77	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA
"100225"	540.081999902171	-1.66811669759436	0.0886164488703105	-18.8240074936385	4.80120246942103e-79	2.82310705201956e-77	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Dermatophilaceae"	"Austwickia"	NA
"496014"	33316.5675548552	-2.47825673884423	0.131756535207615	-18.8093648253509	6.32915499146243e-79	3.57840686055761e-77	"Bacteria"	"Actinobacteria"	"Rubrobacteria"	"Rubrobacterales"	"Baekduiaceae"	"Baekduia"	NA
"1839"	191421.198065653	-2.46590156400169	0.131233649723849	-18.7901621968955	9.09011298504507e-79	4.94906151408009e-77	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	NA
"2714937"	1735.64536744956	-1.66811274748456	0.0891984229430337	-18.7011461912268	4.84519496039836e-78	2.54372735420914e-76	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Propionibacteriaceae"	"Propioniciclava"	NA
"298654"	18594.6669038021	-1.76700462342152	0.0946249217321935	-18.6737763273663	8.09233320655987e-78	4.10197579780793e-76	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Frankiales"	"Frankiaceae"	"Frankia"	NA
"72763"	6364.13169307482	-1.75977397153532	0.094466723654824	-18.6285064565744	1.88717348075164e-77	9.24715005568301e-76	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Propionibacteriaceae"	"Tessaracoccus"	NA
"191495"	40017.1031004687	-2.41510980063002	0.13008315795137	-18.5658915317299	6.06715698431271e-77	2.8770066990128e-75	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"Conexibacteraceae"	"Conexibacter"	NA
"84757"	2817.29023775742	-1.74000738579038	0.0963840478761914	-18.0528565061459	7.49141207962824e-73	3.44136742407922e-71	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Beutenbergiaceae"	"Beutenbergia"	NA
"632569"	10760.3736490327	-1.60893268285898	0.089390242412281	-17.9989743784153	1.98460107098982e-72	8.84049567986376e-71	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Saccharomonospora"	NA
"53461"	7392.32026078336	-1.61146050957343	0.0895771864727781	-17.9896307645602	2.34917882782015e-72	1.01567437555754e-70	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Nakamurellales"	"Nakamurellaceae"	"Nakamurella"	NA
"139021"	3605.5638739507	-1.84552798335173	0.103282635439413	-17.8687150603776	2.06700786610724e-71	8.68143303765039e-70	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Dietziaceae"	"Dietzia"	NA
"2675754"	3747.02166616197	-1.69768122328256	0.09525886983001	-17.8217653254976	4.79007492260196e-71	1.95594726006247e-69	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Ruaniaceae"	"Haloactinobacterium"	NA
"1312072"	1150.09864875772	4.2693604232208	0.239779420146331	17.8053663680366	6.42107042492316e-71	2.55107392557758e-69	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Polaribacter"	NA
"1069220"	1091.7443471239	-1.33947839596904	0.0754596559372298	-17.7509210628162	1.69550327267913e-70	6.55892055483769e-69	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycolicibacillus"	NA
"2789776"	8435.46209256352	-2.39478660389285	0.136079196068746	-17.5984770124819	2.53037601211808e-69	9.53757112259893e-68	"Bacteria"	"Actinobacteria"	"Acidimicrobiia"	"Acidimicrobiales"	"Iamiaceae"	"Actinomarinicola"	NA
"2708082"	3176.94753713733	-2.15534762315113	0.122685153801511	-17.5681209695365	4.32253793470874e-69	1.58853269100546e-67	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Mumia"	NA
"2599293"	1645.15198231088	-1.5932777804092	0.0907606398730348	-17.5547217674759	5.47345404250605e-69	1.96243352255705e-67	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Humibacter"	NA
"2283195"	8883.28602259423	-1.88972762144156	0.107904119859065	-17.5130256741796	1.13971886041087e-68	3.98901601143806e-67	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Intrasporangiaceae"	"Ornithinimicrobium"	NA
"2061"	4495.64110811047	-1.66466872864442	0.0954490646929241	-17.4403880645655	4.07298973103703e-68	1.39239416386615e-66	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Tsukamurellaceae"	"Tsukamurella"	NA
"40323"	754634.732257712	6.33252686978554	0.364184607318262	17.3882331722261	1.01309421073392e-67	3.38465565858832e-66	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	NA
"1658671"	2195.9484549725	-1.90439436639329	0.109711228232032	-17.3582448859803	1.70867421137643e-67	5.58166909049635e-66	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Intrasporangiaceae"	"Arsenicicoccus"	NA
"443156"	10138.4451160366	-2.12745643791498	0.123033731354805	-17.2916517648303	5.43717006477322e-67	1.73753043374275e-65	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Intrasporangiaceae"	"Phycicoccus"	NA
"1276"	1077.2335174432	-1.9747239986438	0.114290284151353	-17.2781440986593	6.87240195181812e-67	2.14945337641971e-65	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Dermacoccaceae"	"Kytococcus"	NA
"83655"	22189.8781596444	6.15071193749506	0.360653959019053	17.0543308445149	3.24568396369026e-65	9.93990713880142e-64	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Leclercia"	NA
"75385"	1404.78690123609	-1.59260319838397	0.0937345389288053	-16.9905695017459	9.64481715940476e-65	2.89344514782143e-63	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Micropruina"	NA
"1678"	5251.02147701596	-1.19739810251273	0.0708327168477075	-16.9045909263536	4.16202980735349e-64	1.22363676336193e-62	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	NA
"1274"	2362.44007675936	-1.6083908445553	0.0959432906566025	-16.7639741512724	4.47674146129181e-63	1.29035489178411e-61	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Dermacoccaceae"	"Dermacoccus"	NA
"379"	6490105.15371058	8.38504149672689	0.504817564736597	16.6100430778434	5.89508561299997e-62	1.66649535598268e-60	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Rhizobium"	NA
