Sample	Soil	Sowing	Type_sample	Soil_Stage_Seeding	Sample_Type
MetaG-AA	Agricultural	After-sowing	Rhizosphere-Agricultural	A_rhizosphere	MetaG-AA
MetaG-AB	Agricultural	After-sowing	Rhizosphere-Agricultural	A_rhizosphere	MetaG-AB
MetaG-AD	Agricultural	After-sowing	Rhizosphere-Agricultural	A_rhizosphere	MetaG-AD
MetaG-AE	Agricultural	After-sowing	Rhizosphere-Agricultural	A_rhizosphere	MetaG-AE
MetaG-AH	Agricultural	After-sowing	Rhizosphere-Agricultural	A_rhizosphere	MetaG-AH
MetaG-AI	Agricultural	After-sowing	Rhizosphere-Agricultural	A_rhizosphere	MetaG-AI
MetaG-NA	Non-Agricultural	After-sowing	Rhizosphere-Non_Agricultural	N_rhizosphere	MetaG-NA
MetaG-ND	Non-Agricultural	After-sowing	Rhizosphere-Non_Agricultural	N_rhizosphere	MetaG-ND
MetaG-NE	Non-Agricultural	After-sowing	Rhizosphere-Non_Agricultural	N_rhizosphere	MetaG-NE
MetaG-NH	Non-Agricultural	After-sowing	Rhizosphere-Non_Agricultural	N_rhizosphere	MetaG-NH
MetaG-NI	Non-Agricultural	After-sowing	Rhizosphere-Non_Agricultural	N_rhizosphere	MetaG-NI
MetaG-PAA	Agricultural	Before-sowing	Soil-Agricultural	A_bulk_soil	MetaG-PAA
MetaG-PAD	Agricultural	Before-sowing	Soil-Agricultural	A_bulk_soil	MetaG-PAD
MetaG-PAI	Agricultural	Before-sowing	Soil-Agricultural	A_bulk_soil	MetaG-PAI
MetaG-PNA	Non-Agricultural	Before-sowing	Soil-Non_Agricultural	N_bulk_soil	MetaG-PNA
MetaG-PND	Non-Agricultural	Before-sowing	Soil-Non_Agricultural	N_bulk_soil	MetaG-PND
MetaG-PNI	Non-Agricultural	Before-sowing	Soil-Non_Agricultural	N_bulk_soil	MetaG-PNI
