Sample	Soil	Sowing	Type_sample	Soil_Stage_Seeding	Sample_Type
MetaG-AA	Agricultural	After-sowing	Rhizosphere-Agricultural	A_Rhizo	MetaG-AA
MetaG-AB	Agricultural	After-sowing	Rhizosphere-Agricultural	A_Rhizo	MetaG-AB
MetaG-AD	Agricultural	After-sowing	Rhizosphere-Agricultural	A_Rhizo	MetaG-AD
MetaG-AE	Agricultural	After-sowing	Rhizosphere-Agricultural	A_Rhizo	MetaG-AE
MetaG-AH	Agricultural	After-sowing	Rhizosphere-Agricultural	A_Rhizo	MetaG-AH
MetaG-AI	Agricultural	After-sowing	Rhizosphere-Agricultural	A_Rhizo	MetaG-AI
MetaG-NA	Non-Agricultural	After-sowing	Rhizosphere-Non_Agricultural	N_Rhizo	MetaG-NA
MetaG-ND	Non-Agricultural	After-sowing	Rhizosphere-Non_Agricultural	N_Rhizo	MetaG-ND
MetaG-NE	Non-Agricultural	After-sowing	Rhizosphere-Non_Agricultural	N_Rhizo	MetaG-NE
MetaG-NH	Non-Agricultural	After-sowing	Rhizosphere-Non_Agricultural	N_Rhizo	MetaG-NH
MetaG-NI	Non-Agricultural	After-sowing	Rhizosphere-Non_Agricultural	N_Rhizo	MetaG-NI
MetaG-PAA	Agricultural	Before-sowing	Soil-Agricultural	A_Soil	MetaG-PAA
MetaG-PAD	Agricultural	Before-sowing	Soil-Agricultural	A_Soil	MetaG-PAD
MetaG-PAI	Agricultural	Before-sowing	Soil-Agricultural	A_Soil	MetaG-PAI
MetaG-PNA	Non-Agricultural	Before-sowing	Soil-Non_Agricultural	N_Soil	MetaG-PNA
MetaG-PND	Non-Agricultural	Before-sowing	Soil-Non_Agricultural	N_Soil	MetaG-PND
MetaG-PNI	Non-Agricultural	Before-sowing	Soil-Non_Agricultural	N_Soil	MetaG-PNI
