DS_PS_Ids	DS_PS_LFC	DS_PS_Genus	AN_PS_Ids	AN_PS_LFC	AN_PS_Genus	DS_Ne_IDs	DS_Ne_LFC	DS_Ne_Genus	AN_Ne_IDs	AN_Ne_LFC	AN_Ne_Genus	DS_Ba_IDs	DS_Ba_LFC	DS_Ba_Genus	AN_Ba_IDs	AN_Ba_LFC	AN_Ba_Genus
61646	13.56020616	Lelliottia	61646	8.58726143	Lelliottia	379	7.434393568	Rhizobium	94254	4.876994997	Dyadobacter	294	7.826975534	Pseudomonas	294	5.191072721	Pseudomonas
549	12.59286956	Pantoea	549	8.08666734	Pantoea	294	7.419448394	Pseudomonas	294	4.71088625	Pseudomonas	1979344	7.611768072	Flavobacterium	358	4.904235945	Agrobacterium
1619313	9.8117335	Erwinia	286	6.350316498	Pseudomonas	94254	7.346858568	Dyadobacter	358	4.53099751	Agrobacterium	459472	6.990555661	Planomicrobium	549	4.740793489	Pantoea
286	9.667231628	Pseudomonas	547	5.653416897	Enterobacter	358	7.07095682	Agrobacterium	471	4.424163547	Acinetobacter	549	6.936161346	Pantoea	1979344	4.497195129	Flavobacterium
1851514	9.55673724	Scandinavium	1619313	5.630985526	Erwinia	459472	6.91172696	Planomicrobium	1979344	4.371237516	Flavobacterium	94254	6.898749588	Dyadobacter	94254	4.466346822	Dyadobacter
547	9.392194034	Enterobacter	471	5.581759501	Acinetobacter	1979344	6.848030106	Flavobacterium	379	4.293581354	Rhizobium	2714951	6.28801526	Leclercia	1721091	3.968581602	Chryseobacterium
2479367	8.470128972	Buttiauxella	1979344	5.331837369	Flavobacterium	2713573	6.740437932	Sphingobacterium	34073	4.222776253	Variovorax	2766984	6.192803344	Pedobacter	34073	3.918078678	Variovorax
379	8.385041497	Rhizobium	379	5.14239716	Rhizobium	471	6.734340551	Acinetobacter	459472	3.984302765	Planomicrobium	34073	5.88505612	Variovorax	471	3.838378249	Acinetobacter
471	8.211493131	Acinetobacter	1851514	5.026628168	Scandinavium	549	6.668443017	Pantoea	549	3.871122547	Pantoea	379	5.880460835	Rhizobium	2766984	3.794669329	Pedobacter
1979344	7.789936672	Flavobacterium	2479367	4.728130045	Buttiauxella	34073	6.610019854	Variovorax	40323	3.73993335	Stenotrophomonas	2735868	5.777467381	Exiguobacterium	459472	3.778069605	Planomicrobium
